Entity,Code,Year,Plug-in hybrid as a share of cars sold,Battery-electric as a share of cars sold
Australia,AUS,2012,0.0096,0.020399999
Australia,AUS,2013,0.011724139,0.02227586
Australia,AUS,2014,0.11515151,0.04484848
Australia,AUS,2015,0.11363637,0.08636364
Australia,AUS,2016,0.07664234,0.07335767
Australia,AUS,2017,0.12434782,0.13565217
Australia,AUS,2018,0.21,0.21
Australia,AUS,2019,0.37826088,0.82173914
Australia,AUS,2020,0.2710145,0.8289855
Australia,AUS,2021,0.46666667,2.3333333
Australia,AUS,2022,0.77352184,4.326478
Australia,AUS,2023,1.3469387,10.653061
Austria,AUT,2015,0.35357141,0.54642856
Austria,AUT,2016,0.36,1.14
Austria,AUT,2017,0.47887325,1.5211267
Austria,AUT,2018,0.6571428,1.942857
Austria,AUT,2019,0.6695652,2.8304348
Austria,AUT,2020,3.059322,6.440678
Austria,AUT,2021,6.25,13.75
Austria,AUT,2022,6.0851064,15.914893
Austria,AUT,2023,6.8,19.2
Belgium,BEL,2010,0.00142857,0.00857143
Belgium,BEL,2011,0.00281081,0.04918919
Belgium,BEL,2012,0.07098901,0.119010985
Belgium,BEL,2013,0.012857143,0.10714286
Belgium,BEL,2014,0.13666667,0.27333334
Belgium,BEL,2015,0.49358973,0.27641025
Belgium,BEL,2016,1.3119565,0.3880435
Belgium,BEL,2017,2.122449,0.477551
Belgium,BEL,2018,1.7454547,0.6545455
Belgium,BEL,2019,1.6090395,1.5909605
Belgium,BEL,2020,7.489362,3.5106382
Belgium,BEL,2021,12.169014,5.830986
Belgium,BEL,2022,15.814433,10.185567
Belgium,BEL,2023,21.243523,19.756477
Brazil,BRA,2012,0.000585,0.000715
Brazil,BRA,2013,0.0011,0.0013
Brazil,BRA,2015,0.00132135,0.00287865
Brazil,BRA,2016,0.0029209,0.0080791
Brazil,BRA,2017,0.015511628,0.00748837
Brazil,BRA,2018,0.011219512,0.00878049
Brazil,BRA,2019,0.06206186,0.023938145
Brazil,BRA,2020,0.11076923,0.04923077
Brazil,BRA,2021,0.7122302,0.18776979
Brazil,BRA,2022,0.6486487,0.55135137
Brazil,BRA,2023,1.9038461,1.0961539
Canada,CAN,2011,0.02365385,0.01734615
Canada,CAN,2012,0.09479167,0.04520833
Canada,CAN,2013,0.106451616,0.11354838
Canada,CAN,2014,0.15784313,0.19215687
Canada,CAN,2015,0.15882353,0.29117647
Canada,CAN,2016,0.41931033,0.34068966
Canada,CAN,2017,0.4790419,0.52095807
Canada,CAN,2018,1.3363637,1.4636364
Canada,CAN,2019,1.2666667,2.1333334
Canada,CAN,2020,1.1529411,3.0470586
Canada,CAN,2021,2.05977,4.34023
Canada,CAN,2022,1.9826087,7.517391
Canada,CAN,2023,3.116959,9.883041
Chile,CHL,2014,0.00584706,0.00125294
Chile,CHL,2015,0.01184849,0.00515152
Chile,CHL,2016,0.00433333,0.00866667
Chile,CHL,2017,0.00677778,0.054222222
Chile,CHL,2018,0.028333334,0.04166667
Chile,CHL,2019,0.06533333,0.07466667
Chile,CHL,2020,0.06687831,0.09312169
Chile,CHL,2021,0.1,0.09
Chile,CHL,2022,0.20666666,0.29333332
Chile,CHL,2023,0.17184782,0.13815218
China,CHN,2010,0.00236111,0.00763889
China,CHN,2011,0.002125,0.031875003
China,CHN,2012,0.00192495,0.07107505
China,CHN,2013,0.00440877,0.09059123
China,CHN,2014,0.13150685,0.26849315
China,CHN,2015,0.2890995,0.7109005
China,CHN,2016,0.34955752,1.1504425
China,CHN,2017,0.45517242,1.9448277
China,CHN,2018,1.1642201,3.5357797
China,CHN,2019,1.0849056,3.9150944
China,CHN,2020,1.0999999,4.6
China,CHN,2021,2.7076924,13.292308
China,CHN,2022,7.3728814,21.62712
China,CHN,2023,12.666667,25.333334
Denmark,DNK,2011,0.00118483,0.24881516
Denmark,DNK,2012,0.00693227,0.28306773
Denmark,DNK,2013,0.0054902,0.27450982
Denmark,DNK,2014,0.0479,0.852071
Denmark,DNK,2015,0.20466101,2.0953388
Denmark,DNK,2016,0.25909093,0.5909091
Denmark,DNK,2017,0.27969927,0.32030076
Denmark,DNK,2018,1.4152173,0.68478256
Denmark,DNK,2019,1.7425531,2.4574468
